name
AccountancyCosts
AccountancyFeesAdministrativeExpenses
AccrualsDeferredIncome
AccrualsDeferredIncomeAfterOneYear
AccrualsDeferredIncomeWithinOneYear
AccruedExpenses
AccruedIncome
AccruedLiabilities
AccruedLiabilitiesDeferredIncome
AccruedLiabilitiesNotExpressedWithinCreditorsSubtotal
AccruedPensionEntitlementUnderDefinedBenefitSchemeDirectors
AccruedPensionLumpSumPeriodEndDirectors
AccruedPensionPeriodEndDirectors
AccumulatedAmortisationGoodwillRelatedToBusinessCombination
AccumulatedAmortisationImpairmentIntangibleAssets
AccumulatedAmortisationNotIncludingImpairmentIntangibleAssets
AccumulatedDepreciationImpairmentBiologicalAssetsCostModel
AccumulatedDepreciationImpairmentHeritageAssets
AccumulatedDepreciationImpairmentInvestmentPropertyCostModel
AccumulatedDepreciationImpairmentPropertyPlantEquipment
AccumulatedDepreciationNotIncludingImpairmentBiologicalAssetsCostModel
AccumulatedDepreciationNotIncludingImpairmentPropertyPlantEquipment
AccumulatedImpairmentAmortisationGoodwillRelatedToBusinessCombination
AccumulatedImpairmentNotIncludingAmortisationIntangibleAssets
AccumulatedImpairmentNotIncludingDepreciationPropertyPlantEquipment
AccumulatedNon-controllingInterestInSubsidiary
AcquiredThroughBusinessCombinationsBiologicalAssetsCostModel
AcquiredThroughBusinessCombinationsBiologicalAssetsFairValueModel
AcquiredThroughBusinessCombinationsIntangibleAssets
AcquiredThroughBusinessCombinationsInvestmentPropertyFairValueModel
AcquiredThroughBusinessCombinationsPropertyPlantEquipment
AcquisitionMergerReserve
AcquisitionNon-controllingInterestsDecreaseIncreaseInEquity
AcquisitionOperatingProfit
AcquisitionSubsidiariesIncreaseDecreaseInEquity
AcquisitionsIncreaseDecreaseInAmortisationImpairmentIntangibleAssets
AcquisitionsIncreaseDecreaseInDepreciationImpairmentPropertyPlantEquipment
ActualReturnOnAssetsBenefitSchemeScheme
ActuarialGainLossOnAssetsDefinedBenefitPlan
ActuarialGainLossOnAssetsDefinedBenefitScheme
ActuarialGainLossOnDefinedBenefitPensionSchemes
ActuarialGainLossOnDefinedBenefitSchemeRecognisedInStatementTotalRecognisedGainsLosses
ActuarialGainLossOnLiabilitiesDefinedBenefitScheme
ActuarialGainLossRecognisedInPensionSchemes
AdditionalGoodwillRelatedToBusinessCombinationRecognisedDuringPeriod
AdditionalProvisionsIncreaseFromNewProvisionsRecognised
AdditionalProvisionsIncreaseFromNewProvisionsRecognisedInEquity
AdditionalProvisionsIncreaseFromNewProvisionsRecognisedInOtherComprehensiveIncome
AdditionalProvisionsIncreaseFromNewProvisionsRecognisedInProfitOrLoss
AdditionsFromAcquisitionsInvestmentPropertyCostModel
AdditionsFromAcquisitionsInvestmentPropertyFairValueModel
AdditionsFromPurchaseHeritageAssets
AdditionsFromSubsequentExpenditureRecognisedAsAssetInvestmentPropertyCostModel
AdditionsFromSubsequentExpenditureRecognisedAsAssetInvestmentPropertyFairValueModel
AdditionsOtherThanThroughBusinessCombinationsContractAssets
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssets
AdditionsOtherThanThroughBusinessCombinationsInvestmentPropertyCostModel
AdditionsOtherThanThroughBusinessCombinationsInvestmentPropertyFairValueModel
AdditionsOtherThanThroughBusinessCombinationsPropertyPlantEquipment
AdjustmentForHigherLowerTaxRatesOnOverseasEarnings
AdjustmentForLongAccountingPeriodsLeadingToAnIncreaseDecreaseInTaxCharge
AdjustmentForPriorPeriodsLeadingToAnIncreaseDecreaseInTaxCharge
AdjustmentInResearchDevelopmentTaxCreditLeadingToAnIncreaseDecreaseInTaxCharge
AdministrationFeeExpenses
AdministrationSupportAverageNumberEmployees
AdministrationSupportNumberEmployeesDate
